,N/A (Born in the US),,,,,,,Before 1950,,,,,,,1950 - 1959,,,,,,,1960 - 1969,,,,,,,1970 - 1979,,,,,,,1980 - 1989,,,,,,,1990 - 1999,,,,,,,2000 - 2009,,,,,,,2010 or later,,,,,,
,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,13,34,29,0,0,0,0,0,6,22,0,0,0,0,0,13,0,0,24,0,0,0,18,21,0,0,0,0,0,60,7,0,0,0,0,18,73,84,0
-> Danish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,120976,105855,10825,146853,207954,78387,10700,189,278,5,169,194,330,3,238,844,76,1051,1500,560,45,305,613,52,943,1661,519,99,179,213,15,510,1391,477,120,44,177,103,569,1026,533,175,47,386,30,1008,1239,490,205,489,133,19,415,643,363,82,374,0,0,28,153,22,28
not_us_citizen,0,0,0,0,0,0,0,89,0,0,18,0,0,0,20,133,0,82,147,33,0,130,329,29,212,348,75,35,20,92,40,363,258,88,62,30,222,27,261,785,189,100,88,188,44,380,1202,452,144,284,173,23,486,763,886,190,2043,536,62,1008,1585,1771,389
-> Dutch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,464504,395983,58553,406381,532400,181936,21775,405,834,90,880,1006,651,183,1231,3403,512,4857,5336,2480,493,757,3000,294,4818,4732,2011,297,425,1036,125,1842,2915,1607,297,212,866,143,1697,3757,1823,307,304,955,130,2014,3858,2200,516,1401,1050,0,1126,2504,1438,595,1778,490,0,265,630,368,74
not_us_citizen,0,0,0,0,0,0,0,54,45,0,116,3,0,0,260,524,30,668,322,48,19,768,1002,106,1343,1354,491,72,134,653,116,783,1046,369,114,144,575,113,986,1554,743,349,122,440,77,1269,2855,1727,731,596,1071,212,1426,3024,2387,689,3293,2004,109,2246,5220,4212,968
-> English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2983726,2548140,384791,2937990,4213180,1754491,221808,2030,5666,605,4738,5367,2865,600,3466,9430,1220,11659,14740,7588,1371,3267,11301,1785,16518,23475,11212,2229,1465,6955,998,10863,18031,9864,2266,1523,5318,1305,8923,18540,9454,2368,1507,6358,944,9505,20317,7286,2457,7847,3683,554,5473,9964,3857,1139,8888,1157,134,1464,2772,690,133
not_us_citizen,0,0,0,0,0,0,0,320,559,0,177,109,70,0,1063,1888,242,1250,973,263,3,1397,3589,276,3822,3379,733,286,932,3338,604,3219,4055,1707,369,1022,3835,594,4389,7319,2391,912,850,4216,996,5198,10584,3591,1448,2896,4931,822,6879,14488,4691,1790,6442,6064,1073,9055,17471,6861,1714
-> Finnish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,83191,69421,8081,83455,119364,39742,5163,35,167,0,30,195,144,9,177,184,13,317,468,278,53,195,403,105,447,792,191,34,65,250,0,308,655,435,20,56,130,67,237,944,446,45,65,427,24,335,776,743,174,470,217,14,139,391,454,119,352,27,0,63,207,101,0
not_us_citizen,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,99,0,50,12,6,0,25,91,17,211,135,31,0,25,187,0,143,190,118,0,20,35,0,83,394,151,63,17,0,7,121,504,429,48,148,232,16,124,581,376,132,1476,254,28,754,1462,1455,317
-> French,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,894242,819336,144100,832226,968887,304860,33190,1152,2419,313,1481,1403,967,267,1763,4071,628,3844,4220,1818,413,2310,5127,1087,6034,7445,2966,577,1014,2862,351,4135,6754,3897,331,1024,2449,474,3959,7342,4517,945,1274,2674,407,4132,8248,6172,1386,2996,1242,83,2608,5074,5293,1190,3201,770,86,614,1687,1007,124
not_us_citizen,0,0,0,0,0,0,0,36,20,0,95,54,0,21,186,475,29,387,284,120,21,902,1051,165,787,458,230,80,625,544,48,405,890,402,110,588,761,81,1054,1215,1131,192,719,1503,253,1114,3217,1888,776,2370,1691,299,1832,4172,5805,2259,12443,3352,409,4754,11791,20510,3875
-> German,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,6454671,5444701,726056,5540549,7447289,2495879,289235,3668,7305,762,5913,6506,4137,1300,17478,34706,5489,29691,32124,12670,2586,10991,28986,5388,31081,37472,14531,2251,3463,11900,2042,17113,25546,11927,1755,2817,9731,2163,13193,23148,10749,2527,2625,10161,1525,16003,23506,8521,2373,14180,4089,720,7661,9947,5921,1533,13040,1054,186,2405,3663,1405,405
not_us_citizen,0,0,0,0,0,0,0,148,299,29,187,27,15,20,2386,3289,281,1999,1095,311,71,3549,5500,875,4132,3532,904,223,1394,3976,559,2842,3111,1244,316,1393,4582,600,3219,5477,2239,1119,2140,5024,1011,4571,9446,5230,2548,3211,5124,788,4235,11090,8553,4384,13535,8778,944,6897,15040,15377,4617
-> Prussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,4774,3782,907,7183,11093,3610,507,0,0,0,19,0,0,0,11,6,9,72,30,74,30,12,25,20,0,40,38,25,0,0,0,0,35,66,0,8,0,0,28,69,16,0,0,0,0,121,93,10,0,78,0,0,25,0,28,0,16,0,0,0,0,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,24,15,60,0,0,0,0,0
-> Greek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,199666,108127,15175,143788,237028,101050,10953,1548,1661,80,765,697,340,113,4929,4303,264,2315,2854,1710,509,10554,8580,522,4275,5409,2839,583,9319,7516,774,3346,6581,3115,851,1897,2432,215,1711,3138,2647,1042,1102,2078,208,1563,2265,2164,890,1341,1166,30,1013,1428,1110,582,1516,398,15,265,780,368,85
not_us_citizen,0,0,0,0,0,0,0,154,30,0,0,0,0,0,337,94,21,39,18,53,0,1455,906,40,421,348,0,16,1962,1497,40,543,455,91,77,1243,743,58,334,449,166,201,519,631,14,428,863,487,156,396,798,12,457,607,1218,736,1613,1507,67,1491,2407,3030,1258
-> Icelander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,6880,2887,427,5617,7411,3267,354,15,24,0,21,44,29,0,7,109,27,75,221,73,0,0,82,52,248,179,79,57,22,50,35,145,194,68,0,105,55,0,125,202,225,15,34,163,0,135,301,83,46,79,88,0,136,365,65,0,70,16,0,0,39,14,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,51,25,0,0,0,121,0,76,42,0,0,0,49,0,10,11,30,0,0,12,0,62,96,41,3,16,32,24,57,31,65,49,80,82,37,154,155,89,11,265,56,0,242,260,296,42
-> Irish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,4331586,3324148,577766,3762857,4896330,1863906,184900,1375,2311,410,2291,2107,1778,408,4471,7670,1669,7483,10320,5125,648,3796,8820,1873,10042,14638,6101,924,1104,4707,997,6378,12652,6088,881,1485,6067,1323,7822,14013,5958,909,1444,5500,991,9319,13900,5746,849,7744,2335,407,4352,5002,2255,529,7863,664,57,1576,1563,483,97
not_us_citizen,0,0,0,0,0,0,0,63,22,24,58,53,26,0,400,711,136,413,430,132,0,1168,1164,113,1170,1088,246,11,506,764,239,1230,1327,427,121,595,1946,290,1703,2612,872,329,534,2563,228,2379,4220,1795,322,1521,2335,182,1998,5257,2650,936,3677,2614,189,3515,9145,5167,1504
-> Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2731911,2225645,281626,2178565,3189154,1238715,123375,6752,6994,730,3155,2351,1442,324,24600,18518,2241,10966,11893,5843,700,29316,22302,2946,13606,16241,7100,1124,13480,14794,1636,10086,13398,6102,863,4458,7732,1386,6687,12032,6584,1588,3596,6700,1075,7486,15192,7322,2303,7747,4817,621,5997,11383,6503,1455,6605,1322,182,1986,3200,1387,167
not_us_citizen,0,0,0,0,0,0,0,276,245,23,26,15,84,25,2247,1202,127,409,335,73,19,6579,3008,428,977,1014,288,68,7686,4650,292,902,1580,590,87,2632,2626,251,1318,1683,541,265,2123,3153,157,2846,3529,2017,748,4096,5948,896,4509,8815,5288,2822,12338,6966,377,8035,17286,15712,5436
-> Sicilian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,30516,20267,4781,32134,37373,13394,1366,144,83,0,7,73,4,0,234,254,119,144,144,62,0,308,267,0,155,123,105,0,306,113,40,131,54,10,18,93,68,13,64,67,0,0,23,45,0,96,74,7,0,44,15,0,53,43,15,0,26,0,0,0,18,19,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,12,0,0,72,0,12,0,0,0,0,344,146,0,19,10,15,0,35,0,0,31,0,0,0,0,30,0,10,0,10,0,16,0,0,0,15,0,0,38,0,0,17,59,0,0
-> Luxembourger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,1856,3114,258,3465,7199,3332,500,0,0,18,0,0,0,0,19,9,0,25,46,0,0,76,55,0,33,53,54,0,0,20,0,19,15,28,0,0,0,0,12,28,0,37,9,0,0,0,9,0,0,0,0,0,18,8,0,0,0,0,0,0,6,0,0
not_us_citizen,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,13,0,0,0,0,0,13,0,0,41,0,21,13,100,0
-> Maltese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,4703,3003,532,5019,5391,2225,143,76,146,6,83,37,104,0,461,408,59,345,228,91,0,58,134,40,96,113,68,35,99,83,48,162,34,24,9,0,58,68,114,71,54,42,29,90,20,11,46,27,0,51,64,0,10,116,0,0,84,0,24,0,0,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,74,0,18,0,0,0,38,115,0,23,0,0,0,29,0,0,11,0,0,0,0,64,0,0,13,0,0,0,63,0,7,0,0,0,48,39,0,0,107,36,0,96,63,0,49,231,99,28
-> Norwegian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,538642,459326,62917,575107,832830,277354,34880,250,504,18,618,690,322,11,265,888,147,1285,1783,753,150,219,968,170,1893,2531,994,141,11,394,99,1279,1823,898,303,109,236,55,657,1814,880,87,64,454,126,893,1545,690,39,989,46,20,500,639,284,69,1499,52,15,101,180,102,0
not_us_citizen,0,0,0,0,0,0,0,6,21,0,3,22,0,0,100,106,17,141,68,25,0,154,454,7,467,368,167,43,69,71,58,218,288,228,18,61,103,44,321,617,269,50,109,409,21,457,698,677,125,221,219,38,500,988,793,251,1035,706,5,1016,1523,1245,97
-> Portuguese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,200250,143124,21375,148091,159417,46105,4744,912,497,77,303,360,128,35,3571,1799,447,998,1000,604,0,13784,8276,1809,4158,4211,1724,250,16295,10936,2369,5110,7105,1519,146,9551,6196,1035,4175,5449,1643,273,3095,4026,596,2648,4907,1985,577,2183,1788,288,1772,3095,1382,199,1296,623,39,422,597,347,72
not_us_citizen,0,0,0,0,0,0,0,61,74,0,0,30,0,0,266,31,0,15,66,0,0,2785,1213,101,399,240,55,11,6326,2670,407,801,456,75,25,4685,1831,263,729,977,289,36,3904,1934,188,1249,1190,325,195,4320,3085,182,1982,2704,1175,594,6559,3598,146,3172,6671,4679,713
-> Scotch Irish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,367368,319432,55300,485601,641135,274817,36776,93,194,32,502,816,336,40,175,482,127,1297,1451,956,183,131,1023,154,1449,2477,1188,257,95,324,128,996,1574,890,112,81,342,94,561,1537,416,44,95,380,67,962,1389,382,146,787,198,12,526,670,150,42,698,78,0,232,128,72,16
not_us_citizen,0,0,0,0,0,0,0,18,0,0,0,11,0,0,68,53,0,124,63,0,0,142,151,68,195,147,27,5,5,50,0,48,176,73,26,54,83,0,119,296,151,22,44,163,106,218,283,230,33,204,64,0,176,689,245,50,240,202,45,194,483,251,25
-> Scottish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,541022,465893,79577,691203,955219,387778,52464,263,1687,121,1442,1173,646,142,650,3220,131,3519,4080,2471,397,1108,4174,543,4254,6467,3111,626,380,2076,187,2521,5860,2417,778,288,1783,344,2613,5086,2581,773,373,1377,397,3451,6289,2692,586,2086,900,165,1280,3012,1293,305,1178,185,13,338,529,317,51
not_us_citizen,0,0,0,0,0,0,0,22,105,0,45,32,10,0,383,783,187,504,348,109,14,473,1360,75,1162,791,323,104,340,1023,172,1065,1280,268,251,320,849,102,1262,1950,1098,178,433,647,180,1197,3053,1462,529,546,1192,279,1615,3269,1832,675,1650,1758,105,2587,4652,2424,435
-> Swedish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,359803,328612,40826,422915,627398,243723,32539,169,336,49,477,402,209,34,195,796,60,1178,1416,1167,189,60,700,177,1127,2273,1060,203,109,365,45,1141,2398,1302,133,53,502,90,1125,2304,1263,234,57,494,30,1551,2736,1241,398,1388,261,48,632,1495,732,37,1197,208,36,293,405,246,21
not_us_citizen,0,0,0,0,0,0,0,34,43,0,18,3,31,7,38,167,0,143,117,58,0,53,209,0,244,351,63,36,76,222,18,156,197,184,27,95,395,14,338,898,387,42,121,244,32,593,1200,676,109,490,573,6,634,1455,884,176,2398,1582,85,2308,2947,2320,441
-> Swiss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,121696,70545,9072,84973,143054,63916,9491,66,150,12,186,138,199,54,259,494,57,608,953,571,117,244,662,90,762,1461,889,189,255,343,72,369,1217,806,196,132,416,61,508,1284,741,285,100,324,51,563,1735,785,277,503,240,44,274,1044,569,79,741,42,0,48,184,38,24
not_us_citizen,0,0,0,0,0,0,0,0,65,0,27,13,0,0,0,65,0,114,90,33,0,107,160,29,117,330,35,0,65,180,0,95,216,183,120,42,202,10,120,359,123,74,75,135,35,385,1192,392,240,206,153,109,293,959,714,402,1117,607,34,443,1639,1195,656
-> Irish Scotch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,269375,164930,31313,246907,300749,111954,11643,0,140,33,304,146,174,18,53,213,4,619,504,302,51,25,386,52,1041,734,793,171,70,345,89,316,946,510,23,96,282,55,714,836,288,285,168,228,0,639,1134,205,23,517,36,35,246,104,198,47,625,22,0,112,34,37,25
not_us_citizen,0,0,0,0,0,0,0,0,61,0,13,24,0,0,16,14,13,33,73,0,0,57,138,40,93,57,0,0,67,35,42,40,95,7,0,29,30,0,63,186,87,28,39,139,12,70,372,95,23,32,3,15,80,490,106,64,409,114,0,255,894,291,96
-> Welsh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,138978,121465,18309,184463,256082,109060,13814,122,172,0,29,204,199,62,121,277,38,473,802,426,18,129,230,26,816,1235,602,154,22,193,151,571,701,554,188,46,374,45,433,927,458,136,38,347,0,601,1138,419,72,502,145,0,428,431,84,87,450,48,0,22,128,17,11
not_us_citizen,0,0,0,0,0,0,0,0,13,0,14,0,0,0,37,57,0,16,67,0,0,100,52,5,121,125,29,15,41,107,15,210,197,68,0,28,122,13,189,348,105,21,31,194,14,243,521,120,73,215,231,58,249,559,143,140,168,298,12,685,958,261,118
-> Scandinavian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
