,N/A (Born in the US),,,,,,,Before 1950,,,,,,,1950 - 1959,,,,,,,1960 - 1969,,,,,,,1970 - 1979,,,,,,,1980 - 1989,,,,,,,1990 - 1999,,,,,,,2000 - 2009,,,,,,,2010 or later,,,,,,
,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate,no_highschool,highschool_reg,highschool_ged,college_some_no_degree,college_degree,masters,doctorate
us_citizen,12740,2142,412,3136,4530,1562,128,0,0,0,0,21,57,11,36,49,0,39,35,80,106,35,95,7,114,259,220,25,66,76,18,97,195,152,0,24,317,0,136,453,245,121,255,1999,157,2312,5830,5471,1374,1810,2828,376,2412,6576,5457,658,1250,206,0,343,859,477,131
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,57,0,0,0,0,0,17,0,0,13,32,0,0,0,25,0,0,0,0,0,99,355,19,243,527,440,140,274,622,126,703,2957,1527,458,1452,2005,138,1134,2854,2391,276
-> Croatian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,36904,37098,4003,40851,62955,28350,3135,217,190,0,105,121,54,33,738,503,20,350,700,278,158,1696,1928,222,983,1625,427,49,1430,1695,94,599,1128,536,97,298,623,62,425,885,318,131,262,2431,106,1390,2898,1248,323,480,695,95,860,717,433,82,309,88,0,113,214,143,35
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,47,55,11,0,0,127,30,30,8,0,0,0,138,192,0,54,71,0,0,212,84,0,94,97,33,11,182,431,59,196,423,173,44,133,381,21,306,380,357,60,170,222,43,576,826,760,129
-> Czech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,107802,91673,8870,108624,179854,66997,8067,162,444,36,171,198,243,36,295,534,99,570,493,650,198,233,739,67,675,1435,925,308,163,199,73,541,1428,609,169,181,583,16,892,2114,1187,123,40,427,121,645,1760,1119,279,429,497,47,577,775,344,172,204,27,30,123,50,59,23
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,17,0,0,14,38,0,44,33,12,0,34,4,21,72,87,36,0,0,45,0,37,59,0,17,9,122,36,138,349,70,65,117,683,124,431,806,372,124,253,884,60,307,817,669,101,489,776,34,685,796,943,379
-> Bohemian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,21424,35603,3582,29225,34549,10290,932,0,0,0,12,0,13,0,30,20,0,43,88,46,0,0,0,0,66,61,23,11,116,7,10,80,11,24,15,8,59,0,106,165,0,0,0,42,0,0,37,0,0,17,70,0,137,0,0,0,92,37,0,22,74,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,28,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,22,10,0,0,0,33,0,0,57,0,0,400,0,0,85,0,0,0
-> Czechoslovakian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,22564,35853,3555,39241,57055,20458,2181,173,137,0,49,146,11,95,105,205,0,317,265,97,15,96,231,0,137,184,240,10,151,146,11,143,348,46,11,37,160,38,169,196,143,74,12,35,15,101,189,127,0,101,47,14,60,83,0,0,78,89,0,6,19,65,14
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,38,16,0,0,103,0,32,0,0,0,38,26,23,11,55,0,0,0,71,0,26,85,6,0,17,59,0,94,221,0,14,0,48,0,0,22,21,11
-> Estonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,3270,1113,181,1930,4246,2003,340,113,78,6,165,298,329,119,50,148,15,323,343,161,89,9,67,0,160,47,52,53,0,17,0,0,51,76,13,0,56,0,0,21,78,0,0,69,0,160,458,268,47,104,37,27,42,233,43,34,45,0,0,0,4,0,0
not_us_citizen,0,0,0,0,0,0,0,0,15,0,0,0,0,0,35,0,0,0,0,4,0,0,0,0,0,12,44,0,0,0,0,22,22,21,0,0,0,0,0,24,0,19,9,99,13,129,75,39,53,0,46,0,306,347,126,0,85,78,75,193,178,266,75
-> German Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,8199,1886,430,3996,3600,1817,179,0,0,0,14,0,28,0,0,0,11,179,43,0,0,111,42,0,34,25,69,0,0,35,0,15,0,21,0,25,48,0,25,85,0,0,8,50,10,0,74,0,0,109,0,0,21,43,0,0,213,24,0,63,0,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,84,0,0,0,32,57,0,0,0,0,0,0,0,0,0,0,0,0
-> Rom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,3089,1474,426,2211,1934,838,55,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,14,0,0,0,0,0,0,49,25,25,0,73,127,22,129,75,35,0,253,84,0,0,0,0,0,135,0,0,0,51,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,3,0,0,11,30,0,12,32,0,0,47,42,0,27,73,0,0,70,187,31,62,97,0,0
-> Hungarian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,144835,134156,15098,139989,195735,83726,11139,592,816,68,468,746,544,158,2383,3297,335,3391,4334,2546,816,638,1421,554,1928,2138,1193,426,867,1352,221,1284,2061,1060,387,698,1365,220,1451,3008,1604,490,311,1907,296,1285,3047,2154,799,779,1190,218,1068,2233,1322,270,1289,266,72,221,819,170,45
not_us_citizen,0,0,0,0,0,0,0,0,0,17,0,5,0,0,136,145,9,145,85,0,0,265,70,21,149,136,19,10,30,218,5,250,158,75,25,245,395,37,533,289,169,44,227,446,41,357,1014,320,112,593,810,153,679,1433,712,313,1399,1875,189,1523,2314,2010,424
-> Latvian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,7459,3603,395,6053,13333,8493,1119,203,463,0,391,810,558,120,99,677,97,990,1679,852,150,25,59,5,183,223,247,39,32,87,0,88,145,221,0,17,50,0,97,152,189,74,39,294,19,397,845,467,145,87,102,40,278,626,323,13,574,0,0,79,33,65,15
not_us_citizen,0,0,0,0,0,0,0,50,27,0,6,39,0,0,46,24,0,32,25,0,0,0,25,0,41,28,0,0,11,92,0,34,0,6,0,0,0,0,11,26,22,0,22,84,0,18,266,45,25,39,81,0,64,421,104,0,403,216,0,364,572,403,0
-> Lithuanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,45739,47011,4840,55229,96197,51335,7690,349,523,43,703,1139,863,150,232,813,15,936,1005,760,174,78,201,32,350,680,259,29,20,148,0,307,372,269,78,30,142,0,245,812,525,53,160,742,83,958,3322,1020,167,436,810,82,1058,2611,1016,68,133,67,37,134,226,63,0
not_us_citizen,0,0,0,0,0,0,0,22,32,0,27,0,0,0,93,77,0,59,21,10,0,31,97,21,2,0,0,0,0,14,0,6,0,6,3,15,76,0,31,108,33,0,27,397,12,276,721,423,19,338,673,27,906,1741,421,119,615,602,0,341,1580,774,110
-> Macedonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,7767,2720,258,3221,5500,2311,228,15,0,0,0,0,0,14,44,33,20,66,9,27,0,587,671,44,141,378,140,0,888,1095,40,183,491,94,0,431,665,0,238,412,93,29,172,1461,36,434,1168,324,196,264,849,0,387,1061,302,38,77,135,0,174,169,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,24,53,0,0,0,0,0,62,121,25,32,30,0,0,27,49,56,36,0,0,0,92,150,14,164,192,37,0,273,852,0,349,445,68,82,705,960,0,571,1095,178,62
-> Montenegrin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2209,304,40,635,856,172,7,0,0,0,0,0,0,0,0,0,0,0,8,0,0,38,0,0,0,24,0,0,222,126,16,33,108,15,0,113,147,0,80,120,20,0,244,827,36,109,515,48,57,129,241,29,162,68,65,0,39,24,0,0,28,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,44,0,0,14,0,0,0,0,0,41,0,0,0,0,0,0,38,20,0,0,15,0,0,169,82,36,80,18,11,0,139,139,0,88,42,76,0,268,201,0,95,242,23,27
-> Polish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,1096331,1056370,114865,1000578,1497611,604628,66168,2619,2994,374,1928,3225,2409,510,3652,6491,716,6302,6691,4527,462,4876,8240,805,6452,8826,4571,696,3375,7891,564,4803,8459,4534,957,4943,17367,1324,12824,22850,13489,2156,5712,23251,2024,16595,30768,15646,1855,5978,10787,992,8984,15488,10319,959,2849,763,15,1137,1495,1120,166
not_us_citizen,0,0,0,0,0,0,0,189,140,0,117,26,16,0,267,707,124,281,241,47,47,1105,1021,192,636,504,197,33,1077,1477,182,377,497,130,72,1404,4021,312,1902,1993,867,31,4271,11672,723,5302,5406,1813,208,4679,13601,898,7542,10295,5592,1311,4135,5053,129,3464,7113,7865,1276
-> Romanian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,58686,19053,2780,26687,37142,20584,2976,187,144,3,213,158,110,33,438,305,0,420,463,139,32,445,610,124,611,816,659,73,861,1286,147,1207,1887,1229,381,2476,4518,379,3290,6068,3563,848,2545,8961,830,6018,14064,8011,2075,2913,4611,287,4317,11101,5466,1206,444,432,82,531,802,723,26
not_us_citizen,0,0,0,0,0,0,0,0,0,17,0,0,0,0,8,68,0,85,19,0,5,8,112,0,84,0,0,27,136,67,0,60,142,0,0,254,339,0,333,443,82,14,411,886,95,587,893,484,160,1174,2850,187,1874,3805,1999,769,3283,2026,392,1986,5668,3519,802
-> Moldavian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,4714,86,0,389,373,386,22,0,0,0,0,0,0,0,29,14,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,29,22,14,30,0,0,66,192,30,73,233,917,71,568,1681,452,71,754,963,26,1132,1683,467,50,131,212,0,244,373,82,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,163,0,27,0,0,0,555,1080,7,740,1159,156,32,1129,1167,62,1048,1762,889,12
-> Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,272983,122930,15483,193845,360684,253842,33619,591,644,12,877,1598,1005,238,961,1558,80,1401,2306,1167,364,1045,1021,172,1136,2088,1856,274,768,2553,357,2233,7205,5283,727,1060,2816,612,3406,11449,8681,1590,6615,17349,1906,22483,63250,40630,10119,30378,11201,1112,13621,31885,19840,3525,4710,1705,197,1826,3490,2680,436
not_us_citizen,0,0,0,0,0,0,0,28,37,0,27,39,0,0,140,189,4,14,109,58,0,173,203,36,207,160,34,0,229,333,60,244,389,32,19,320,561,101,729,829,783,57,1658,3561,541,2785,5137,2483,455,3792,5045,504,4714,10018,5993,1593,11729,6039,490,7839,21687,18257,2461
-> Serbian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,24544,13433,1094,14632,23791,9690,1303,98,168,0,94,106,0,0,361,370,15,291,571,130,0,836,1247,69,713,913,461,191,820,1112,130,649,681,236,91,116,727,78,559,1075,524,328,365,3334,196,2077,4239,1910,581,916,2370,95,1200,3028,1307,365,551,264,0,140,478,218,127
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,32,0,0,0,14,104,0,47,34,15,0,174,58,37,44,190,12,0,89,182,0,156,102,22,11,338,548,38,483,603,148,51,524,1102,24,1008,1047,586,308,606,1612,16,1403,2703,1316,223
-> Slovak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,53612,85795,5884,62723,108991,49173,6109,247,373,10,136,242,26,28,180,101,31,91,202,298,0,166,219,114,401,664,369,13,127,24,43,148,347,416,0,42,214,60,489,699,576,59,95,1096,104,715,1154,868,263,119,471,71,293,809,745,122,267,28,0,9,78,85,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,15,0,0,30,37,0,0,0,0,0,30,18,35,0,0,54,0,27,0,35,0,141,603,56,260,103,75,60,75,355,77,268,416,503,161,395,355,34,201,538,685,79
-> Slovene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,14358,16882,987,17878,32888,15795,1934,78,128,14,43,90,26,24,197,224,47,233,110,114,51,238,66,20,75,350,58,43,61,14,0,35,92,122,12,0,52,0,49,294,172,24,12,57,0,148,82,108,51,52,47,0,34,270,61,47,0,0,0,0,79,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,20,0,0,0,19,0,0,0,0,0,10,0,0,27,7,10,0,0,0,0,77,29,0,0,0,86,0,0,15,83,27,15,14,0,0,85,75,87,149,46,9,156,236,115,66
-> Turkestani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2128,140,11,51,51,29,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,34,0,0,0,0,0,16,0,6,0,0,0,0,0,60,24,117,248,19,220,381,251,65,2910,312,50,502,854,417,70,314,12,0,221,121,83,14
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,22,0,0,100,0,24,0,0,0,0,0,0,20,104,21,0,210,140,0,291,579,463,107,1403,838,103,1158,2512,986,296
-> Uzbeg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,6782,227,0,106,327,27,13,0,0,0,0,0,0,0,0,37,0,0,0,0,0,34,129,9,0,11,0,0,73,30,81,25,49,11,0,141,202,35,53,303,117,0,436,750,246,253,1258,757,39,615,450,0,737,1148,660,98,169,87,0,95,292,195,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,56,0,0,0,42,66,0,21,116,16,27,886,535,16,498,1349,1204,156,6409,2418,317,1257,4202,1373,108
-> Georgia CIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2193,271,33,270,366,162,17,0,0,0,0,0,32,0,0,0,0,0,28,0,0,0,54,0,0,25,15,0,0,44,0,31,22,13,27,0,42,0,26,193,50,0,82,404,0,305,1601,1118,229,465,221,0,269,996,695,22,159,114,0,8,134,217,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,0,38,0,0,0,0,47,0,0,0,32,36,15,28,576,125,0,46,193,71,192,465,259,141,858,375,90,614,1317,734,233
-> Ukrainian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,105149,54754,6097,60660,110283,62090,9064,841,1083,16,1128,1214,1356,240,1490,2500,258,2816,3347,1839,336,698,1257,100,923,1752,1032,230,891,1388,143,1387,3856,2758,269,750,2300,81,2127,7050,3111,180,4199,13581,1062,11801,35726,16284,2126,9260,9389,747,9832,19824,9838,1393,2621,739,6,1096,2522,1066,174
not_us_citizen,0,0,0,0,0,0,0,74,26,9,11,58,19,0,71,222,25,78,109,30,13,185,343,0,274,575,77,0,105,179,0,142,231,68,30,482,367,108,258,637,97,19,1885,3725,322,2606,4196,735,233,3571,5626,505,4317,7940,3603,637,10328,6764,496,5662,13215,11810,663
-> Yugoslavian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,11425,12666,1060,13906,18095,5052,485,159,85,23,0,55,18,0,393,363,0,527,285,62,17,514,371,21,241,370,176,43,614,624,54,378,348,102,25,265,883,45,143,374,273,30,476,1110,0,716,1787,281,85,154,375,0,133,556,102,55,56,52,0,13,80,0,0
not_us_citizen,0,0,0,0,0,0,0,0,44,0,0,0,0,0,136,10,5,14,0,0,0,69,39,0,21,0,0,0,58,54,0,45,0,0,0,412,123,33,52,18,39,0,63,263,0,164,326,52,0,123,482,14,234,178,24,0,40,231,0,142,74,44,0
-> Bosnian and Herzegovinian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,22408,1407,120,1656,912,254,22,0,0,0,0,0,19,0,0,133,0,22,26,39,0,28,109,0,0,56,24,0,224,100,33,163,152,35,0,60,525,44,43,240,129,0,4628,17603,1196,8915,14728,3048,343,2567,6307,437,3749,4202,633,60,500,412,21,15,382,143,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,58,69,0,0,0,0,18,2000,3595,449,1051,1205,38,46,1366,2851,91,1151,347,88,104,846,1341,22,442,690,233,39
-> Slavic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,9432,10608,1046,11086,17271,7792,942,0,44,0,46,24,63,0,73,135,19,71,183,136,0,38,102,0,84,259,72,38,27,85,0,195,251,54,34,18,69,0,164,300,232,128,163,199,13,488,1080,394,100,128,150,8,307,671,299,43,182,22,0,4,53,0,29
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,0,0,0,24,0,0,25,0,0,0,0,0,0,0,13,0,0,0,0,0,0,21,0,126,49,70,62,23,100,2,174,56,0,111,327,94,24,771,467,24,129,887,513,0
-> Slavonian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,350,451,73,744,1364,277,92,0,0,0,8,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,25,9,0,0,0,0,0,0,0,0,0,75,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-> Central European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,1959,962,288,2667,6081,4409,658,0,0,0,0,18,0,0,20,0,0,12,88,0,8,0,0,0,0,136,21,0,0,0,0,0,27,38,0,0,14,0,0,34,64,0,16,0,0,52,34,11,0,32,0,0,19,7,0,12,0,35,0,0,0,0,10
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21,0,0,0,0,0,21,0,20,0,0,0,0,44,15,0,0,0,0,15,17,0,0,0,17,0,14,0,0
-> Northern European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,70923,24670,5225,55873,125581,82830,13683,0,0,0,33,38,105,39,15,57,0,225,390,359,74,7,50,23,118,740,573,191,0,5,9,139,488,540,86,1,80,0,125,538,354,59,35,54,46,123,388,186,17,377,28,5,84,51,105,45,324,0,0,12,44,0,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,22,0,10,0,0,0,0,25,9,0,0,20,0,0,2,0,11,0,0,0,25,28,0,17,0,25,18,34,27,138,0,0,35,0,0,23,37,9,19,34,0,49,56,192,66
-> Southern European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2712,1537,291,2647,3704,1706,161,0,0,0,24,18,0,7,0,0,30,0,90,12,12,0,43,0,12,67,77,0,15,0,10,41,95,30,52,13,67,0,72,142,96,37,20,26,0,36,184,236,32,125,40,0,85,152,68,80,121,0,0,0,33,74,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,74,0,0,12,49,24,0,17,0,0,0,45,31,0,146,61,0,10,324,152,54
-> Western European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,110983,42662,6194,77468,171036,92844,12609,0,11,0,50,43,37,16,18,76,18,230,331,164,44,49,113,17,184,742,384,58,14,27,14,230,584,479,53,52,61,33,91,504,255,96,0,151,0,303,437,346,76,445,18,11,72,270,113,25,552,0,0,44,77,32,14
not_us_citizen,0,0,0,0,0,0,0,6,0,0,0,0,0,0,23,3,0,31,0,0,0,4,0,0,16,67,0,0,0,0,0,29,12,41,13,0,8,0,18,160,24,23,0,46,0,16,83,25,0,0,0,0,17,291,71,22,194,34,23,153,237,71,44
-> Eastern European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,115094,46103,7095,82101,214265,185464,26921,81,122,0,151,250,293,52,157,283,33,350,626,893,141,379,351,13,362,670,1056,183,11,89,125,421,1015,1037,409,0,162,52,486,1501,1305,330,180,489,46,809,2306,2021,511,829,381,0,401,1080,609,95,487,0,0,67,289,223,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,18,0,0,0,45,15,0,12,0,0,4,0,41,0,13,26,9,13,17,93,0,12,48,165,20,12,24,10,72,167,6,10,30,175,63,90,218,195,74,115,137,0,153,405,225,120,323,27,20,166,822,652,113
-> Germanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,6653,4183,591,8427,15390,7235,815,40,5,0,12,45,20,0,59,101,0,156,295,16,67,27,28,0,92,220,76,0,0,23,0,31,118,33,0,3,0,0,0,61,20,0,0,0,33,35,44,57,42,39,3,0,0,24,33,0,23,0,0,5,4,25,0
not_us_citizen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,5,0,0,0,0,25,0,5,0,0,0,0,0,0,2,0,2,0,0,14,0,0,18,21,0,0,27,0,28,94,40,0,0,43,0,28,25,55,0,7,14,0,74,99,48,0
-> European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,1224967,517020,82224,765993,1307873,599181,80395,228,462,24,548,806,817,122,649,1147,214,1770,3383,2331,424,713,1808,398,3038,5821,3411,453,649,1553,291,2281,5291,3345,627,600,1801,495,2646,6190,3577,669,659,2935,567,4282,7716,4006,771,5337,1549,224,2238,4689,1805,330,5124,429,95,644,947,627,55
not_us_citizen,0,0,0,0,0,0,0,16,8,0,53,0,0,0,37,16,0,131,41,3,0,133,160,18,333,262,130,0,117,292,58,206,299,198,11,363,516,0,506,1053,314,184,494,829,98,836,1623,863,251,694,815,147,1254,2685,1288,801,2673,1297,128,1532,4761,3463,681
-> Spaniard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,104627,52536,11663,72194,61742,17095,2038,364,546,69,498,492,194,9,1598,1280,169,1510,1481,433,59,5229,4533,1260,6161,6487,3037,439,5151,4309,682,4938,5891,2835,355,5280,5028,1413,6837,8542,3569,591,4076,4615,1054,5492,9279,4512,793,5048,3869,499,4994,9875,4773,764,4316,1548,211,1738,3843,1292,182
not_us_citizen,0,0,0,0,0,0,0,35,0,0,52,0,22,0,130,55,21,16,55,20,0,782,330,112,377,265,120,0,1608,817,185,543,296,158,19,2657,1525,181,986,942,169,25,4535,2807,470,2058,1438,754,273,7741,4442,435,3879,4842,3011,907,10348,5934,362,3975,11404,8213,1095
-> Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,7618177,2070690,297306,2152111,1338383,253045,20099,12082,3409,506,2013,1517,295,90,38012,12545,3106,11069,9595,3152,467,114093,37705,8932,31326,23402,5957,453,285380,97268,23598,72546,56933,12966,1063,324159,150595,33408,105946,86617,18162,2208,213077,160996,27708,111929,94088,17469,1578,127442,96224,13957,62066,56515,14026,900,53428,17643,2015,11894,10209,2058,178
not_us_citizen,0,0,0,0,0,0,0,3667,506,82,225,26,16,44,16490,2542,384,1665,1166,240,17,60300,11524,2078,6377,3568,605,24,243464,46441,7339,20600,11330,1583,115,547685,151297,18797,59817,35055,3981,345,1095467,468471,47497,183772,93245,9398,689,1311532,556262,45323,197776,103307,14544,1545,464963,169706,11911,57326,76010,20232,1692
-> Mexican American,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
us_citizen,2331217,627605,93345,601876,303691,51870,3731,1019,114,163,234,137,61,0,1671,712,175,929,467,341,61,4451,2126,298,1759,1151,213,20,10118,6256,817,3452,2544,688,115,9681,7420,1000,5269,3695,958,0,8103,9087,662,6333,4721,576,0,7446,3960,291,3148,2472,277,35,7146,1095,141,746,366,248,161
